label table imagenumber objectnumber
+1 0 25170 17
+1 0 25171 9
+1 0 25172 13
+1 0 25172 24
+1 0 5341 61
+1 0 26847 27
-1 0 20864 550
-1 0 5344 44
-1 0 9436 246
-1 0 27498 78
-1 0 3677 22
-1 0 14643 173
-1 0 19079 34
-1 0 7068 74
-1 0 25207 119
-1 0 2624 76
-1 0 510 7
-1 0 22013 47
-1 0 22113 161
-1 0 8234 63
-1 0 22728 3
-1 0 3402 23
-1 0 17145 89
-1 0 19280 60
-1 0 27075 14
-1 0 15985 117
-1 0 6857 56
-1 0 23666 82
-1 0 23350 54
-1 0 5478 109
-1 0 37360 152
-1 0 37336 16
-1 0 1284 48
-1 0 3510 3
-1 0 19177 35
-1 0 11600 3
-1 0 4417 35
-1 0 9822 26
-1 0 8854 43
-1 0 3335 2
-1 0 22223 57
-1 0 3851 4
-1 0 6488 9
-1 0 10644 33
-1 0 39023 120
-1 0 4074 118
-1 0 37385 117
-1 0 3734 50
-1 0 11562 73
-1 0 20482 331
-1 0 17212 80
-1 0 25318 33
-1 0 5731 19
-1 0 13195 22
-1 0 16165 63
-1 0 37386 22
-1 0 8367 35
-1 0 4376 42
-1 0 16076 113
-1 0 34281 57
-1 0 17064 215
-1 0 19442 103
-1 0 34523 124
-1 0 10198 274
-1 0 18853 49
-1 0 3890 28
-1 0 20980 175
-1 0 7008 16
-1 0 14946 39
-1 0 10031 199
-1 0 19251 3
-1 0 5809 72
-1 0 6052 85
-1 0 9444 46
-1 0 5689 60
-1 0 34498 160
-1 0 8105 11
-1 0 14649 71
-1 0 6748 29
-1 0 17921 124
-1 0 26848 12
-1 0 25380 54
-1 0 14533 47
-1 0 16482 129
-1 0 4166 73
-1 0 9746 28
-1 0 10006 129
-1 0 3528 85
-1 0 8266 36
-1 0 25090 6
-1 0 29819 19
-1 0 4531 165
-1 0 9369 21
-1 0 16370 8
-1 0 3169 176
-1 0 28959 9
-1 0 11558 30
-1 0 14292 36
-1 0 1074 25
-1 0 25299 52
-1 0 24784 27
-1 0 24955 28
-1 0 12966 262
-1 0 3502 16
-1 0 7408 1
-1 0 12114 52
-1 0 3813 31
-1 0 420 50
-1 0 37751 83
-1 0 7847 245
-1 0 14513 10
-1 0 22392 23
-1 0 2371 102
-1 0 22823 33
-1 0 3466 20
-1 0 15134 126
-1 0 27315 21
-1 0 6342 73
-1 0 32653 33
-1 0 10644 282
-1 0 25997 154
-1 0 9371 100
-1 0 8732 5
-1 0 5424 64
-1 0 8604 59
-1 0 5396 8
-1 0 8788 49
-1 0 19628 11
-1 0 26848 2
-1 0 34725 224
-1 0 4559 66
-1 0 36062 304
-1 0 6942 22
-1 0 38857 165
-1 0 29698 15
-1 0 6555 38
-1 0 35837 52
-1 0 17641 147
-1 0 25965 30
-1 0 9958 38
-1 0 13104 44
-1 0 5236 71
-1 0 26647 280
-1 0 34693 19
-1 0 25593 17
-1 0 68 114
-1 0 7355 19
-1 0 4083 54
-1 0 10463 27
-1 0 13971 110
-1 0 22708 117
-1 0 6364 162
-1 0 37875 32
-1 0 26933 209
-1 0 33097 56
-1 0 37491 53
-1 0 31600 20
-1 0 13222 154
-1 0 4003 50
-1 0 3267 43
-1 0 23167 69
-1 0 22432 167
-1 0 6923 8
-1 0 21827 286
-1 0 991 33
-1 0 1118 13
-1 0 23842 74
-1 0 6875 27
-1 0 24928 59
-1 0 14860 50
-1 0 27483 24
-1 0 3735 67
-1 0 6948 2
-1 0 12850 48
-1 0 2438 15
-1 0 9820 5
-1 0 10582 47
-1 0 7249 56
-1 0 10321 57
-1 0 16371 22
-1 0 5705 6
-1 0 14724 4
-1 0 24471 575
-1 0 22136 42
-1 0 10121 352
-1 0 31600 35
-1 0 19546 17
-1 0 466 99
-1 0 4535 30
-1 0 6980 10
-1 0 14418 22
-1 0 4975 11
-1 0 6612 79
-1 0 8494 34
-1 0 36040 66
-1 0 26428 1
-1 0 2524 281
-1 0 24011 29
-1 0 8485 13
-1 0 14574 21
-1 0 7099 34
-1 0 29969 20
-1 0 39180 5
-1 0 39180 40
-1 0 39180 11
-1 0 39180 27
-1 0 39180 36
-1 0 39180 12
-1 0 39180 67
-1 0 39180 8
-1 0 39180 64
-1 0 39180 55
-1 0 39180 71
-1 0 39180 59
-1 0 39180 57
-1 0 39180 60
-1 0 39180 8
-1 0 39179 15
-1 0 39179 18
-1 0 39179 26
-1 0 39179 13
-1 0 17673 11
-1 0 17673 20
-1 0 17673 5
-1 0 17673 24
-1 0 17674 7
-1 0 17674 2
-1 0 17674 34
-1 0 17674 7
-1 0 17674 2
-1 0 17674 34
-1 0 17674 3
-1 0 17674 2
-1 0 17674 10
-1 0 17674 26
-1 0 17676 9
-1 0 17676 4
-1 0 17676 18
-1 0 39177 6
-1 0 39177 30
-1 0 39177 15
-1 0 39177 30
-1 0 39177 12
-1 0 39177 28
-1 0 39177 10
-1 0 39177 7
-1 0 39177 1
-1 0 39177 20
-1 0 39178 18
-1 0 39178 6
-1 0 39178 11
-1 0 39178 21
-1 0 39178 21
-1 0 39178 18
-1 0 39178 4
-1 0 39178 2
-1 0 39178 8
-1 0 39178 9
-1 0 39178 27
-1 0 12639 100
-1 0 12421 115
-1 0 33352 538
-1 0 27214 34
-1 0 34196 246
-1 0 34292 164
-1 0 23757 47
-1 0 35364 68
-1 0 10322 44
-1 0 27114 140
-1 0 22584 32
-1 0 23481 41
-1 0 17842 123
-1 0 40194 47
-1 0 9628 35
-1 0 23285 123
-1 0 34223 23
-1 0 581 36
-1 0 2256 58
-1 0 39459 131
-1 0 339 7
-1 0 41378 8
-1 0 28333 31
-1 0 19131 45
-1 0 5861 118
-1 0 25060 16
-1 0 18488 112
-1 0 2839 104
-1 0 27100 17
-1 0 37570 257
-1 0 24404 4
-1 0 1311 64
-1 0 30290 140
-1 0 32367 420
-1 0 28847 66
-1 0 26601 22
-1 0 21412 116
-1 0 40583 53
-1 0 36761 17
-1 0 37768 37
-1 0 23294 367
-1 0 10698 56
-1 0 9857 141
-1 0 23119 374
-1 0 8414 188
-1 0 18934 87
-1 0 17726 161
-1 0 11252 125
-1 0 26816 304
-1 0 516 278
-1 0 38378 94
-1 0 37137 27
-1 0 3665 39
-1 0 20494 30
-1 0 20329 54
-1 0 27797 152
-1 0 9356 232
-1 0 4073 53
-1 0 513 93
-1 0 31468 114
-1 0 3386 65
-1 0 14246 52
-1 0 27944 33
-1 0 6548 66
-1 0 5454 77
-1 0 28610 7
-1 0 3915 252
-1 0 13027 44
-1 0 11747 19
-1 0 37822 18
-1 0 3693 61
-1 0 23755 214
-1 0 11098 193
-1 0 8284 475
-1 0 23102 79
-1 0 30058 27
-1 0 25830 45
-1 0 6580 302
-1 0 14643 352
-1 0 24289 266
-1 0 9349 10
-1 0 23520 54
-1 0 8481 44
-1 0 27253 2
-1 0 38029 83
-1 0 5126 147
-1 0 91 155
-1 0 17877 201
-1 0 27022 303
-1 0 3665 24
-1 0 3665 25
-1 0 3665 36
-1 0 3665 15
-1 0 3665 5
-1 0 3665 9
-1 0 3665 40
-1 0 3665 2
-1 0 3665 4
-1 0 3665 6
-1 0 3665 15
-1 0 3665 3
-1 0 3665 28
-1 0 3665 36
-1 0 3665 25
-1 0 3665 19
-1 0 3665 17
-1 0 3665 43
-1 0 3666 43
-1 0 3666 32
-1 0 3666 35
-1 0 3666 40
-1 0 3666 9
-1 0 3666 25
-1 0 3666 11
-1 0 3667 4
-1 0 3667 7
-1 0 3667 6
-1 0 3667 9
-1 0 3667 1
-1 0 3667 8
-1 0 3667 9
-1 0 3667 14
-1 0 3667 18
-1 0 3667 3
-1 0 3667 17
-1 0 3668 42
-1 0 3668 8
-1 0 25169 36
-1 0 25169 30
-1 0 25169 3
-1 0 25169 16
-1 0 25170 26
-1 0 25171 27
-1 0 25171 17
-1 0 25171 17
-1 0 25172 31
-1 0 25172 43
-1 0 25187 70
-1 0 25187 96
-1 0 25187 57
-1 0 25187 119
